Utterance,Intent,Training/Testing,ML Entity
What is the balance on my checking?,account_balance,Training,
how much do I have in the bank,account_balance,Training,
Whatʻs the amount in my savings account,account_balance,Training,
give my checking account total,account_balance,Training,
just want to know amount I have in savings,account_balance,Training,
please tell me how much I have in my accounts,account_balance,Training,
can I see available balance info for my accounts,account_balance,Training,
what do i have in savings presently,account_balance,Training,
how much money do I have in checking,account_balance,Training,
amount in saving account,account_balance,Training,
how much money do I have,account_balance,Training,
I'd like to know what the available balance is in my checking,account_balance,Training,
what was my balance again,account_balance,Training,
can you please tell me how much money is in my savings account,account_balance,Training,
I want you to show me my checking acct balance,account_balance,Training,
what is available in savings account,account_balance,Training,
how much money is there in checking,account_balance,Training,
checking balance please,account_balance,Training,
want to see checking acct balance,account_balance,Training,
what's in my checking account,account_balance,Training,
How much do I have in my savings account?,account_balance,Training,
balance of savings account,account_balance,Training,
where can I see my account balances,account_balance,Training,
I want to see my account balance,account_balance,Training,
do I have any money left on my account,account_balance,Training,
need to know how much is in checking right now,account_balance,Training,
give me the amount I have in savings,account_balance,Training,
hey give me my balance,account_balance,Training,
wanting to check amount I have in my checking account,account_balance,Training,
how much money in my account,account_balance,Training,
show my balance,account_balance,Training,
do i have money in my savings account right now,account_balance,Training,
saving account balance,account_balance,Training,
give my available funds,account_balance,Training,
what do I have in my savings,account_balance,Training,
dumb question but how do I see how much I have in my main checking account with you guys,account_balance,Training,account_name
can you tell me how much I have on alt account now,account_balance,Training,account_name
available funds in my checking account,account_balance,Training,
balance of emergency savings acct,account_balance,Training,account_name
whatʻs in my checking again,account_balance,Training,
Can you please direct me to the page that shows me my account balances,account_balance,Training,
Am I close to having a negative balance in my checking?,account_balance,Training,
How much do I have available on my checking account,account_balance,Training,
I need tto check how my much money I have left on my acount,account_balance,Training,
give me an update on my account balance,account_balance,Training,
would like to know how much I have in my checking account,account_balance,Training,
what's the amount I have in my checking account,account_balance,Training,
balance of the savings account,account_balance,Training,
show me balance of checking acct,account_balance,Training,
how much I got in savings?,account_balance,Training,
check balance,account_balance,Training,
How much do I have in savings?,account_balance,Training,
Can you pull up my balance in my savings account,account_balance,Training,
whatʻs my available balance?,account_balance,Training,
checking account total,account_balance,Training,
can you show balance of all my accounts,account_balance,Training,
can you show me the review screen of all my account balances,account_balance,Training,
where on this app can I see how much there is in my checking account,account_balance,Training,
how much do I have in my checking account,account_balance,Training,
is there a place i can see balance of my debit card and the savings account,account_balance,Training,
wha do I have in checking,account_balance,Training,
give my checking account amount,account_balance,Training,
can you tell me what my account balance is,account_balance,Training,
i want to check my balance but not on my main account,account_balance,Training,account_name
"what's in savings, how much",account_balance,Training,
how can I see how much is in savings,account_balance,Training,
Show my my balance on piggybank,account_balance,Training,account_name
how much is in savings,account_balance,Training,
how much do I have in checking,account_balance,Training,
need to check balance of college savings account,account_balance,Training,account_name
Can you pull up my account balance,account_balance,Training,
how much is in checking,account_balance,Training,
would like to know how much is in my college savings account,account_balance,Training,account_name
how much money in savings account,account_balance,Training,
how much do I still have on my savings,account_balance,Training,
show me balance of my saving,account_balance,Training,
just checking how much I have on checking,account_balance,Training,
how much money is in checking,account_balance,Training,
want to find out the amount I have in savings please,account_balance,Training,
current balance in checking account,account_balance,Training,
would like to know balance of my husbandʻs account,account_balance,Training,account_name
how much do i have in my retirement account,account_balance,Training,account_name
need to check balance of my vacation account,account_balance,Training,account_name
need to check the balance of my main savings account,account_balance,Training,account_name
what's the balance on my main savings account,account_balance,Training,account_name
show me balance of college savings acct please,account_balance,Training,account_name
Still something on acount B? havenʻt checked in awhile,account_balance,Training,account_name
my baby account balance,account_balance,Training,account_name
How do I see my baby account balance,account_balance,Training,account_name
How much left on my baby account,account_balance,Training,account_name
how much is in my emergency savings account,account_balance,Testing,account_name
trying to figure out how much i still have on my backup account,account_balance,Testing,account_name
whatʻs the balance on my wifeʻs account,account_balance,Testing,account_name
tell me the balance on vacation savings account,account_balance,Testing,account_name
how much is there in the baby account,account_balance,Testing,account_name
how much money is there in my college savings account,account_balance,Testing,account_name
what is available in my secret account,account_balance,Testing,account_name
balance in the savings account for my wife,account_balance,Testing,account_name
give me the balance in the account for vacation,account_balance,Testing,account_name
give me the total of my checking,account_balance,Testing,
how much total money do I have in the bank,account_balance,Testing,
current balance on my savings account,account_balance,Testing,
give the balance of checking,account_balance,Testing,
how do I see how much I have on my savings accont,account_balance,Testing,
How do I get balance info for my three saving accts?,account_balance,Testing,
Whatʻs the balance of my checking account,account_balance,Testing,
i need to find out how much is in savings,account_balance,Testing,
balance,account_balance,Testing,
how much have we saved in our retirement account,account_balance,Testing,account_name
whatʻs in my savings account,account_balance,Testing,
can you tell me how much I have in checking right now,account_balance,Testing,
I can't find how to see my account balances,account_balance,Testing,
does my checking account show a positive balance,account_balance,Testing,
what is there in the checking account,account_balance,Testing,
how much do I have in checking,account_balance,Testing,
how much money do I have?,account_balance,Testing,
tell me how much I have right now in savings,account_balance,Testing,
our new home account has how much in it,account_balance,Testing,account_name
need to check the current balance of how much money I've got in my checking account please,account_balance,Testing,
how much money does my wife have in her account,account_balance,Testing,account_name
my backup savings account,account_choice,Testing,account_choice
go to my everyday checking account,account_choice,Testing,account_choice
can i see my platinum savings account,account_choice,Testing,account_choice
i need to see my portfolio checking account,account_choice,Testing,account_choice
the baby savings,account_choice,Testing,account_choice
iʻd like to see my secret savings account,account_choice,Testing,account_choice
from emergency savings acct,account_choice,Testing,account_choice
use the main checking account,account_choice,Testing,account_choice
take a look at my wifeʻs account,account_choice,Testing,account_choice
pull up the retirement savings account,account_choice,Testing,account_choice
iʻm going to use checking,account_choice,Training,
pick checking,account_choice,Training,
savings,account_choice,Training,
the checking account,account_choice,Training,
i want my checking account,account_choice,Training,
go to checking,account_choice,Training,
go to my checking account,account_choice,Training,
i want savings,account_choice,Training,
i want to see the checking account,account_choice,Training,
my checking,account_choice,Training,
my savings account,account_choice,Training,
checking account,account_choice,Training,
savings account,account_choice,Training,
ways 2 save account,account_choice,Training,
take a look at checking,account_choice,Training,
use the checking,account_choice,Training,
"no, make that checking instead",account_choice,Training,
"actually, let's go with checking",account_choice,Training,
"actually, let's do savings instead",account_choice,Training,
checking,account_choice,Training,
way 2 save account,account_choice,Training,
the way2save account,account_choice,Training,
way2save savings,account_choice,Training,
i want checking,account_choice,Training,
go to savings,account_choice,Training,
iʻd like my husbandʻs account,account_choice,Training,account_name
use the savings,account_choice,Training,
checking acct,account_choice,Training,
savings acct,account_choice,Training,
show my checking,account_choice,Training,
show my savings,account_choice,Training,
my main account,account_choice,Training,account_name
bring up my savings,account_choice,Training,
the vacation account,account_choice,Training,account_name
bring my checking up,account_choice,Training,
use my backup account,account_choice,Training,account_name
let me see my savings,account_choice,Training,
from the college savings acct,account_choice,Training,account_name
view my checking,account_choice,Training,
from my new car savings acct,account_choice,Training,account_name
i'd like my wife's acct,account_choice,Training,account_name
can i see my car savings account,account_choice,Training,account_name
I want to see my christms account,account_choice,Training,account_name
please show my primary checking,account_choice,Training,account_name
need to see secondary savings,account_choice,Training,account_name
can i see my fun account,account_choice,Training,account_name
i wanna see my backup account,account_choice,Training,account_name
show my checking account balance for vacation,account_choice,Training,account_name
i want to see my everyday checking,account_choice,Training,account_name
my everyday checking acct,account_choice,Training,account_name
show my everyday checking,account_choice,Training,account_name
can you make that portfolio checking instead,account_choice,Training,account_name
portfolio checking account,account_choice,Training,account_name
go to my preferred checking account,account_choice,Training,account_name
"preferred checking account, please",account_choice,Training,account_name
go to my platinum savings please,account_choice,Training,account_name
need to view my platinum savings,account_choice,Training,account_name
need to see my preferred checking,account_choice,Testing,account_name
my clear access banking acct,account_choice,Testing,account_name
show the vacation account,account_choice,Testing,account_name
show my husbandʻs checking account,account_choice,Testing,account_name
look up the balance on my vacation account,account_choice,Testing,account_name
pull up the second checking account,account_choice,Testing,account_name
look at the rainy day account,account_choice,Testing,account_name
pick the savings,account_choice,Testing,
choose savings,account_choice,Testing,
checking please,account_choice,Testing,
"no, make that checking",account_choice,Testing,
use my checking account,account_choice,Testing,
pull up the checking acct,account_choice,Testing,
look at the checking,account_choice,Testing,
want the checking,account_choice,Testing,
when do i have to pay it by,bill_date,Training,
when is that bill due,bill_date,Training,
whenʻs the due date,bill_date,Training,
how soon do i have to pay this,bill_date,Training,
whatʻs due date for this payment,bill_date,Training,
when do i need to pay this,bill_date,Training,
date to pay,bill_date,Training,
when is the due date,bill_date,Training,
when do i have to pay by,bill_date,Training,
pay date,bill_date,Training,
bill date,bill_date,Training,
due date is when,bill_date,Training,
tell me when is it due,bill_date,Training,
when do i need to pay,bill_date,Training,
how soon is this due,bill_date,Training,
how soon do i have to pay,bill_date,Training,
pay by when,bill_date,Training,
whens the payment due,bill_date,Training,
when is the payment due,bill_date,Training,
day i need to pay by,bill_date,Training,
date i need to pay by,bill_date,Training,
when is it usually due,bill_date,Training,
what's the usual due date,bill_date,Training,
when is this credit card's payment due every month,bill_date,Training,
what date do I need to pay this by every month,bill_date,Training,
when is the due date on this every month,bill_date,Training,
when is the monthly pay date for this,bill_date,Training,
what day of the month is this usually due,bill_date,Training,
when is the cutoff due date to pay this card,bill_date,Training,
when is the due date for this credit card's payment,bill_date,Training,
when is this card payment due every month,bill_date,Training,
date I need to pay this credit card bill every month,bill_date,Training,
my next payment is due when,bill_date,Training,
what's my next due date,bill_date,Training,
what is my payment date,bill_date,Training,
give me my due date,bill_date,Training,
I need my due date,bill_date,Training,
I need to pay this by when,bill_date,Training,
due date please,bill_date,Training,
by when should I pay this,bill_date,Training,
date bill is due,bill_date,Training,
due date,bill_date,Testing,
when is it due,bill_date,Testing,
due when,bill_date,Testing,
payment due date,bill_date,Testing,
billʻs due date,bill_date,Testing,
when is the bill due,bill_date,Testing,
bill due date,bill_date,Testing,
what's the due date,bill_date,Testing,
what's the payment due date,bill_date,Testing,
what's the normal due date on this card,bill_date,Testing,
what's the due date on this card,bill_date,Testing,
when is this card usually due,bill_date,Testing,
what day of the month is this card payment due,bill_date,Testing,
when is that due,bill_date,Testing,
what date is payment due,bill_date,Testing,
when do i need to pay this,bill_date,Testing,
when is the monthly due date for this,bill_date,Testing,
whens the due date for this,bill_date,Testing,
what's the monthly due date,bill_date,Testing,
when is that payment due every month,bill_date,Testing,
visa card,card_choice,Training,
misplaced debit,card_choice,Training,
referencing my debit,card_choice,Training,
my credit card was the one,card_choice,Training,
my credit card  ,card_choice,Training,
it was my visa credit card,card_choice,Training,
mastercard cc,card_choice,Training,
my debit,card_choice,Training,
visa cc,card_choice,Training,
MC credit card,card_choice,Training,
lost the debit,card_choice,Training,
just my debit,card_choice,Training,
it was my credit card,card_choice,Training,
it was my visa  ,card_choice,Training,
iʻm talking about my debit card,card_choice,Training,
pick the debit,card_choice,Training,
itʻs the credit card,card_choice,Training,
my debit card,card_choice,Training,
it was my amex,card_choice,Training,
debit,card_choice,Training,
cc,card_choice,Training,
lost the credit card,card_choice,Training,
propel card,card_choice,Training,
talking about debit,card_choice,Training,
my checking card,card_choice,Training,
iʻm referring to my debit card,card_choice,Training,
Need to recover lost credit card,card_choice,Training,
my cc,card_choice,Training,
talking about the credit card,card_choice,Training,
my debit card please,card_choice,Training,
credit card,card_choice,Training,
I've seem to have misplaced my visa Cc,card_choice,Training,
it's the debit card,card_choice,Training,
checking card,card_choice,Training,
it was my debit,card_choice,Training,
It's the platinum card ,card_choice,Training,
credit  ,card_choice,Training,
just pick the credit card,card_choice,Training,
it's credit card,card_choice,Training,
No the credit card,card_choice,Training,
visa  ,card_choice,Training,
it was the debit card,card_choice,Training,
the debit card,card_choice,Training,
My checking card has disappeared ,card_choice,Training,
My credit card is nowhere to be found,card_choice,Training,
misplaced the cc,card_choice,Training,
Debit card has vanished ,card_choice,Training,
amex cc,card_choice,Training,
american express  ,card_choice,Training,
it was the credit card,card_choice,Training,
lost my propel amex cc,card_choice,Training,
misplaced my propel american express card,card_choice,Training,
can't find my propel amex card,card_choice,Training,
can't seem to find my WF amex card,card_choice,Training,
lost my cash wise visa card,card_choice,Training,
can't find my WF cash wise visa card,card_choice,Training,
it's my WF cash wise visa card,card_choice,Training,
it's my WF rewards card,card_choice,Training,
it's my WF visa signature card,card_choice,Training,
just pick my WF visa signature,card_choice,Training,
wf platinum cc,card_choice,Training,
wf platinum visa card,card_choice,Training,
WF cash back college card,card_choice,Training,
it's my platinum visa cc,card_choice,Training,
it's my cash back college card,card_choice,Training,
my propel card,card_choice,Testing,
lost debit,card_choice,Testing,
lost the checking card,card_choice,Testing,
amex card,card_choice,Testing,
my regular card,card_choice,Testing,
Can not locate debit card,card_choice,Testing,
it was my debit card,card_choice,Testing,
my mastercard ,card_choice,Testing,
the mastercard card,card_choice,Testing,
the credit card,card_choice,Testing,
propel cc,card_choice,Testing,
referring to credit ,card_choice,Testing,
american express card,card_choice,Testing,
mastercard please,card_choice,Testing,
the card linked to checking,card_choice,Testing,
debit card,card_choice,Testing,
the regular checking,card_choice,Testing,
can't find my debit crd,card_choice,Testing,
my visa,card_choice,Testing,
use visa,card_choice,Testing,
misplaced my hotels.com rewards visa card,card_choice,Training,card_merchant
hotels.com rewards card,card_choice,Training,card_merchant
it was my walmart credit card,card_choice,Testing,card_merchant
my amazon card,card_choice,Testing,card_merchant
the frontier credit card,card_choice,Testing,card_merchant
frontier rewards,card_choice,Testing,card_merchant
amazon card,card_choice,Testing,card_merchant
iʻm talking about my walmart card,card_choice,Testing,card_merchant
the home depot credit card,card_choice,Testing,card_merchant
I donʻt think that last one was me,list_choice,Training,
"yes, the last one I've seen before",list_choice,Training,
i recognize the top one,list_choice,Training,
I made all of them,list_choice,Training,
The second transaction is not mine,list_choice,Training,
only the first one is mine,list_choice,Training,
I never did the top transaction,list_choice,Training,
definitely didnʻt do the second from the bottom,list_choice,Training,
the forth one,list_choice,Training,
I know the first one,list_choice,Training,
That second one,list_choice,Training,
I didnʻt make that last purchase,list_choice,Training,
I don't recognize that most recent transaction,list_choice,Training,
that last one was not me,list_choice,Training,
the third one was definitely me,list_choice,Training,
I didn't make purchases number one and two on that list,list_choice,Training,
The second from the bottom was not me,list_choice,Training,
never seen the 3rd transaction,list_choice,Training,
I know the second one is mine,list_choice,Training,
Those top three aren't mine,list_choice,Training,
the third was me,list_choice,Training,
i didnʻt do the second from the bottom,list_choice,Training,
i remember that one up top,list_choice,Training,
the second one from the bottom,list_choice,Training,
I do not recognize the bottom transaction,list_choice,Training,
i defintely remember the third one,list_choice,Training,
only the last one is familiar,list_choice,Training,
the bottom one,list_choice,Training,
i did do the last 2,list_choice,Training,
the second one is familiar,list_choice,Training,
one two and three,list_choice,Training,
i only did the top one,list_choice,Training,
I think the top one,list_choice,Training,
never shopped at the last store,list_choice,Training,
the first two are unfamiliar,list_choice,Training,
The first one,list_choice,Training,
the bottom one wasnʻt me,list_choice,Training,
the second one,list_choice,Training,
i recognize none of those,list_choice,Training,
i recognize them all,list_choice,Training,
I didn't make that first and third transaction,list_choice,Training,
I donʻt recognize that third one,list_choice,Testing,
the one on the top,list_choice,Testing,
 but I didn't make any of the others,list_choice,Testing,
I recognize all but the last two,list_choice,Testing,
3rd one,list_choice,Testing,
I donʻt recognize he first two,list_choice,Testing,
The third one,list_choice,Testing,
i donʻt recognize number two,list_choice,Testing,
the last one,list_choice,Testing,
The first one was me,list_choice,Testing,
the 2nd and 3rd one,list_choice,Testing,
not familiar with the second line,list_choice,Testing,
I didn't make any of those purchases,list_choice,Testing,
I don't recognize the last two,list_choice,Testing,
I did the third,list_choice,Testing,
i didnʻt do any of those,list_choice,Testing,
number 4 is not familiar at all,list_choice,Testing,
The first transaction,list_choice,Testing,
I didn't make that Macy's purchase,list_choice,Training,merchant
I didn't buy anything from REI or Macy's,list_choice,Training,merchant
i donʻt shop at target,list_choice,Training,merchant
i never go to old navy,list_choice,Training,merchant
amazon purchases werenʻt me,list_choice,Training,merchant
i bought something from walmart,list_choice,Training,merchant
the amazon transaction was me,list_choice,Training,merchant
i donʻt even shop at old navy,list_choice,Training,merchant
i didnʻt buy anything from rei,list_choice,Training,merchant
i never went to kmart,list_choice,Training,merchant
i don't recognize the cvs one,list_choice,Training,merchant
the walgreens one wasn't me,list_choice,Training,merchant
the kmart purchase wasnʻt me,list_choice,Training,merchant
the target one is me,list_choice,Training,merchant
i recognize the kmart purchases,list_choice,Training,merchant
target was me,list_choice,Training,merchant
i made the purchase from walmart,list_choice,Training,merchant
i went to walmart that day,list_choice,Training,merchant
looks good i made the purchase from tjmaxx,list_choice,Training,merchant
I don't recognize that Shell Gas charge from March 17th,list_choice,Testing,merchant
"I did go to Ann Taylor,",list_choice,Testing,merchant
I made the purchase from macyʻs,list_choice,Testing,merchant
the transaction on amazon was me,list_choice,Testing,merchant
i never bought anything from trader joeʻs,list_choice,Testing,merchant
i donʻt shop at trader joeʻs,list_choice,Testing,merchant
i purchased that from walmart yesterday,list_choice,Testing,merchant
the purchase from macyʻs was me,list_choice,Testing,merchant
i recognize the transaction from target,list_choice,Testing,merchant
i did make the purchase from walmart,list_choice,Testing,merchant
i was at jc penny yesterday so that was me,list_choice,Testing,merchant
i recognize the purchase at dickʻs sporting goods,list_choice,Testing,merchant
i made the purchase from kroger,list_choice,Testing,merchant
i bought something from belk,list_choice,Testing,merchant
i donʻt recognize this one from applebeeʻs,list_choice,Testing,merchant
i never shop at walmart,list_choice,Testing,merchant
i donʻt even shop at cardenaʻs,list_choice,Testing,merchant
there isnʻt even a five guys near me,list_choice,Testing,merchant
the rei purchase defintely wasnʻt me,list_choice,Testing,merchant
i donʻt buy things from amazon,list_choice,Testing,merchant
last night,lost_date,Training,
It was lost on February 28th,lost_date,Training,
last week maybe,lost_date,Training,
yesterday,lost_date,Training,
maybe tuesday,lost_date,Training,
2 days ago,lost_date,Training,
it was yesterday,lost_date,Training,
possibly 2 days ago,lost_date,Training,
tuesday maybe,lost_date,Training,
just a few minutes ago,lost_date,Training,
I lost it last night,lost_date,Training,
two days ago,lost_date,Training,
I lost it last Thursday night at Pizza Hut,lost_date,Training,
I lost it on Saturday night,lost_date,Training,
it just happened,lost_date,Training,
this happened right now,lost_date,Training,
i think i lost it last week,lost_date,Training,
I think it was three days ago,lost_date,Training,
today ,lost_date,Training,
i lost it last weekend,lost_date,Training,
beats me,lost_date,Training,
last Friday night,lost_date,Training,
i canʻt remember,lost_date,Training,
i think it happened yesterday,lost_date,Training,
today just a few hours ago,lost_date,Training,
tonight,lost_date,Training,
a couple of hours ago,lost_date,Training,
last Sunday afternoon,lost_date,Training,
no clue,lost_date,Training,
April 3rd,lost_date,Training,
really couldn't tell you exactly when,lost_date,Training,
it was some time last week,lost_date,Training,
Monday,lost_date,Training,
last Thursday the 4th,lost_date,Training,
day before yesterdy,lost_date,Training,
two weeks ago,lost_date,Training,
i donʻt know,lost_date,Training,
"Either Saturday or Sunday, I don't know when",lost_date,Training,
it was just the yesterday,lost_date,Training,
last week i think,lost_date,Training,
the day before yesterday,lost_date,Training,
last week some time,lost_date,Training,
I have no Idea,lost_date,Testing,
this morning,lost_date,Testing,
not super sure,lost_date,Testing,
Thursday the 23rd,lost_date,Testing,
last Saturday,lost_date,Testing,
no idea,lost_date,Testing,
this afternoon ,lost_date,Testing,
it was just now,lost_date,Testing,
iʻm gonna say tuesday,lost_date,Testing,
last Monday the 18th,lost_date,Testing,
this happened just last night,lost_date,Testing,
last month I think,lost_date,Testing,
I lost it last Friday,lost_date,Testing,
December 5th,lost_date,Testing,
they just took it,lost_date,Testing,
just now,lost_date,Testing,
I lost it on March 2nd,lost_date,Testing,
I'm really not sure when,lost_date,Testing,
I'm not sure the exact date I lost it,lost_date,Testing,
some time last week,lost_date,Testing,
forgot it and lost it at a store,lost_stolen,Training,
I left it in the card reader,lost_stolen,Training,
someone took it  ,lost_stolen,Training,
just canʻt seem to find it,lost_stolen,Training,
canʻt find it anywhere,lost_stolen,Training,
i had my wallet stolen and my card was in there,lost_stolen,Training,
i think someone stole it,lost_stolen,Training,
theft,lost_stolen,Training,
lost my card on vacation,lost_stolen,Training,
someone stole my wallet,lost_stolen,Training,
i was robbed,lost_stolen,Training,
I left it at the cash register of a store by accident,lost_stolen,Training,
I just know I don't have it,lost_stolen,Training,
they stole my wallet,lost_stolen,Training,
someone swiped it,lost_stolen,Training,
stolen from my car,lost_stolen,Training,
"just lost it, nobody stole it",lost_stolen,Training,
i think i lost it on vacation,lost_stolen,Training,
someone took it from me,lost_stolen,Training,
can not say for sure if lost or stolen,lost_stolen,Training,
they stole it,lost_stolen,Training,
stolen card,lost_stolen,Training,
lost it,lost_stolen,Training,
i lost it,lost_stolen,Training,
I think I just lost it,lost_stolen,Training,
it was a thief,lost_stolen,Training,
iʻve misplaced it somewhere,lost_stolen,Training,
wallet was robbed from me,lost_stolen,Training,
i donʻt where it went to,lost_stolen,Training,
the card was stolen,lost_stolen,Training,
i canʻt find it,lost_stolen,Training,
someone pilfered it,lost_stolen,Training,
there was a burglary,lost_stolen,Training,
i just misplaced it,lost_stolen,Training,
misplaced,lost_stolen,Training,
I accidentally tossed it ,lost_stolen,Training,
it was taken,lost_stolen,Training,
stolen,lost_stolen,Training,
"not stolen, just lost",lost_stolen,Training,
stole ,lost_stolen,Training,
they took everything,lost_stolen,Testing,
it was stolen,lost_stolen,Testing,
some thief lifted it,lost_stolen,Testing,
lost,lost_stolen,Testing,
i donʻt know where it is,lost_stolen,Testing,
i think i lost it the other day,lost_stolen,Testing,
i think itʻs lost,lost_stolen,Testing,
don't know if lost or stolen,lost_stolen,Testing,
think i burned it in the trash,lost_stolen,Testing,
it got swiped when i set it down,lost_stolen,Testing,
lost it at a restaurant,lost_stolen,Testing,
someone broke into my car,lost_stolen,Testing,
itʻs just misplaced,lost_stolen,Testing,
lost it somewhere,lost_stolen,Testing,
it got lifted off of me,lost_stolen,Testing,
iʻve lost it,lost_stolen,Testing,
some kid ran off with it,lost_stolen,Testing,
they robbed my house,lost_stolen,Testing,
someone took it right after I used it at the cash register,lost_stolen,Testing,
i was mugged,lost_stolen,Testing,
how long has it been since i was paid,out_of_scope,Training,
look up transactions made yesterday,out_of_scope,Training,
I lost my umbrella,out_of_scope,Training,
where can i see my payments,out_of_scope,Training,
my check book was stolen,out_of_scope,Training,
i feel like iʻve lost my mind i definitely paid this,out_of_scope,Training,
are there any videos on how to repair my credit score,out_of_scope,Training,
someone stole my car,out_of_scope,Training,
which day is pay day,out_of_scope,Training,
can you locate my card for me,out_of_scope,Training,
why doesnʻt it show my credit card payments,out_of_scope,Training,
transaction details i made yesterday,out_of_scope,Training,
when was i paid most recently,out_of_scope,Training,
what can i use my credit card for,out_of_scope,Training,
iʻd like to transfer my checking funds to savings,out_of_scope,Training,
when do i get my paycheck,out_of_scope,Training,
will i receive a fee if i donʻt have enough in checking,out_of_scope,Training,
do you all offer insurance for stolen identities,out_of_scope,Training,
i canʻt find my account,out_of_scope,Training,
how long will it take me to pay off my card if I pay an extra $50 a month over the minimum,out_of_scope,Training,
what details can you give me about my accounts,out_of_scope,Training,
what can i do to get a better credit score,out_of_scope,Training,
my car was stolen,out_of_scope,Training,
they stole my identity,out_of_scope,Training,
i was just paid,out_of_scope,Training,
do i have to have a minimum balance on my checking account,out_of_scope,Training,
i can pay for things now,out_of_scope,Training,
what was the date of my last paycheck,out_of_scope,Training,
what will help my credit score,out_of_scope,Training,
find a good card to recommend,out_of_scope,Training,
what date is the next payday,out_of_scope,Training,
my checking account is really low right now,out_of_scope,Training,
when did i get my last check,out_of_scope,Training,
i already paid my credit card,out_of_scope,Training,
my acocunts need to be canceled,out_of_scope,Training,
when did i create this account,out_of_scope,Training,
my identity was stolen,out_of_scope,Training,
what can i use my credit card to pay for,out_of_scope,Training,
move my savings account balance to my checking,out_of_scope,Training,
i already paid this i feel like i lost my mind,out_of_scope,Training,
what are some ways to raise my credit score,out_of_scope,Testing,
transfer the balance of my checking account,out_of_scope,Testing,
how do i balance a check book,out_of_scope,Testing,
credit cards offered,out_of_scope,Testing,
if my balance is low will there be a fee,out_of_scope,Testing,
can you help me if i lost my check book,out_of_scope,Testing,
how do you set up a checking account,out_of_scope,Testing,
how can i safeguard my credit score from dropping,out_of_scope,Testing,
show me a plan to help my credit score rating,out_of_scope,Testing,
I lost my keys,out_of_scope,Testing,
i donʻt see my acount on here,out_of_scope,Testing,
what can i pay with my credit card,out_of_scope,Testing,
i lost my check book,out_of_scope,Testing,
yesterday i paid my credit card why doesnʻt it show,out_of_scope,Testing,
set a warning for when my bank account starts running low,out_of_scope,Testing,
will getting a credit card help my credit score,out_of_scope,Testing,
when do i get paid,out_of_scope,Testing,
iʻm working on balancing my accounts out,out_of_scope,Testing,
i just received my pay,out_of_scope,Testing,
when am i paid and how often,out_of_scope,Testing,
100 dollars,pay_amount,Training,
pay the whole thing,pay_amount,Training,
pay all of it,pay_amount,Training,
pay it in full,pay_amount,Training,
pay 100 dollars toward the balance,pay_amount,Training,
letʻs do 100,pay_amount,Training,
can I pay $100 right now,pay_amount,Training,
iʻll pay 100 dollars,pay_amount,Training,
iʻll put $100 towards the balance,pay_amount,Training,
put 100 towards the total,pay_amount,Training,
i want to pay it off,pay_amount,Training,
